"period","seriesId","seriesDescription","unit","DC_value","MD_value","VA_value"
"2023","WWCSB","Wood and waste energy consumed in the commercial sector at a cost","Billion Btu",1014,627,9649
"2023","WWCXB","Wood and waste energy consumed in the commercial sector at no cost","Billion Btu",0,615,2212
"2023","WWISB","Wood and waste energy consumed in the industrial sector at a cost","Billion Btu",0,413,45307
"2023","WWIXB","Wood and waste energy consumed in the industrial sector at no cost","Billion Btu",0,362,11245
"2023","WWPRB","Wood and waste energy production","Billion Btu",1014,13507,125789
"2023","WWSCB","Wood and waste energy total consumption, adjusted for fuels with no direct cost","Billion Btu",1014,9110,90347
"2023","WWCCV","Wood and waste expenditures in the commercial sector","Million dollars",1,5.5,25.3
"2023","WWEIV","Wood and waste expenditures in the electric power sector","Million dollars",0,17.2,102.2
"2023","WWICV","Wood and waste expenditures in the industrial sector","Million dollars",0,1.1,147.7
"2023","WWCCD","Wood and waste price in the commercial sector","Dollars per million Btu",1.01,8.75,2.62
"2023","WWEID","Wood and waste price in the electric power sector","Dollars per million Btu",0,2.93,3.72
"2023","WWICD","Wood and waste price in the industrial sector","Dollars per million Btu",0,2.65,3.26
"2023","WWTCB","Wood and waste total consumption","Billion Btu",1014,13507,116113
"2023","WWTXB","Wood and waste total end-use consumption","Billion Btu",1014,7634,88624
"2023","WWTXV","Wood and waste total end-use expenditures","Million dollars",1,32.8,267.4
"2023","WWTCV","Wood and waste total expenditures","Million dollars",1,50,369.6
"2023","WDEIB","Wood consumed by the electric power sector","Billion Btu",0,0,21486
"2023","WDCCB","Wood energy consumed by the commercial sector","Billion Btu",0,1241,3632
"2023","WDICB","Wood energy consumed by the industrial sector","Billion Btu",0,473,53978
"2023","WDRCB","Wood energy consumed by the residential sector","Billion Btu",0,5617,20211
"2023","WDRSB","Wood energy consumed in the residential sector at a cost","Billion Btu",0,2196,7903
"2023","WDRXB","Wood energy consumed in the residential sector at no cost","Billion Btu",0,3421,12309
"2023","WDPRB","Wood energy production","Billion Btu",0,7331,108984
"2023","WDTCB","Wood energy total consumption","Billion Btu",0,7331,99307
"2023","WDRCV","Wood expenditures in the residential sector","Million dollars",0,26.2,94.4
"2023","WDGBP","Wood generating units net summer capacity in all sectors","Thousand kilowatts",0,3,497
"2023","WDRCD","Wood price in the residential sector","Dollars per million Btu",0,11.95,11.95
"2022","PACCD","All petroleum products average price in the commercial sector","Dollars per million Btu",31.75,30.43,26.94
"2022","PAEID","All petroleum products average price in the electric power sector","Dollars per million Btu",0,25.11,19.76
"2022","PAICD","All petroleum products average price in the industrial sector","Dollars per million Btu",20.77,27.54,26.21
"2022","PARCD","All petroleum products average price in the residential sector","Dollars per million Btu",32.06,32.83,32.92
"2022","PAACD","All petroleum products average price in the transportation sector","Dollars per million Btu",35.25,33.37,30.27
"2022","PATXD","All petroleum products average price, all end-use sectors","Dollars per million Btu",32.18,32.83,29.96
"2022","PATCD","All petroleum products average price, all sectors","Dollars per million Btu",32.18,32.79,29.88
"2022","PACCB","All petroleum products consumed by the commercial sector","Billion Btu",1026,20219,28906
"2022","PACCP","All petroleum products consumed by the commercial sector","Thousand barrels",189,4024,5996
"2022","PAEIP","All petroleum products consumed by the electric power sector","Thousand barrels",0,327,1106
"2022","PAEIB","All petroleum products consumed by the electric power sector","Billion Btu",0,1928,6395
"2022","PAICP","All petroleum products consumed by the industrial sector","Thousand barrels",563,4855,9527
"2022","PAICB","All petroleum products consumed by the industrial sector","Billion Btu",3618,27973,54754
"2022","PAISB","All petroleum products consumed by the industrial sector excluding process fuel and intermediate products","Billion Btu",3618,27973,54754
"2022","PARCB","All petroleum products consumed by the residential sector","Billion Btu",646,21455,24377
"2022","PARCP","All petroleum products consumed by the residential sector","Thousand barrels",115,4302,5231
"2022","PAACP","All petroleum products consumed by the transportation sector","Thousand barrels",2640,69183,135953
"2022","PAACB","All petroleum products consumed by the transportation sector","Billion Btu",13633,361604,719853
"2022","PAASB","All petroleum products consumed by the transportation sector excluding other biofuels product supplied for the United States","Billion Btu",13633,361604,719853
"2022","PATCB","All petroleum products total consumption","Billion Btu",18922,433178,834284
"2022","PATCP","All petroleum products total consumption","Thousand barrels",3507,82690,157813
"2022","PASCB","All petroleum products total consumption adjusted for process fuel and intermediate products","Billion Btu",18922,433178,834282
"2022","PATPP","All petroleum products total consumption per capita","barrels",5.2,13.4,18.2
"2022","PATPB","All petroleum products total consumption per capita","Million Btu",28,70,96.1
"2022","PATXP","All petroleum products total end-use consumption","Thousand barrels",3507,82363,156707
"2022","PATXB","All petroleum products total end-use consumption","Billion Btu",18922,431251,827889
"2022","PATXV","All petroleum products total end-use expenditures","Million dollars",609,14156.9,24803.6
"2022","PATCV","All petroleum products total expenditures","Million dollars",609,14205.3,24930
"2022","PACCV","All petroleum products total expenditures in the commercial sector","Million dollars",32.6,615.2,778.8
"2022","PAEIV","All petroleum products total expenditures in the electric power sector","Million dollars",0,48.4,126.4
"2022","PAICV","All petroleum products total expenditures in the industrial sector","Million dollars",75.1,770.5,1434.9
"2022","PARCV","All petroleum products total expenditures in the residential sector","Million dollars",20.7,704.5,802.5
"2022","PAACV","All petroleum products total expenditures in the transportation sector","Million dollars",480.6,12066.8,21787.5
"2022","PMCCB","All petroleum products, excluding biofuels, consumed by the commercial sector","Billion Btu",997,19536,28018
"2022","PMEIB","All petroleum products, excluding biofuels, consumed by the electric power sector","Billion Btu",0,1928,6393
"2022","PMICB","All petroleum products, excluding biofuels, consumed by the industrial sector","Billion Btu",3603,27751,54468
"2022","PMRCB","All petroleum products, excluding biofuels, consumed by the residential sector","Billion Btu",646,21455,24377
"2022","PMACB","All petroleum products, excluding biofuels, consumed by the transportation sector","Billion Btu",12754,341172,684906
"2022","PMTCB","All petroleum products, excluding biofuels, total consumption","Billion Btu",18000,411842,798162
"2022","ARTXD","Asphalt and road oil average price, all end-use sectors","Dollars per million Btu",18.46,18.54,18.38
"2022","ARTCD","Asphalt and road oil average price, all sectors","Dollars per million Btu",18.46,18.54,18.38
"2022","ARICP","Asphalt and road oil consumed by the industrial sector","Thousand barrels",483,1854,3426
"2022","ARICB","Asphalt and road oil consumed by the industrial sector","Billion Btu",3207,12305,22737
"2022","ARICV","Asphalt and road oil expenditures in the industrial sector","Million dollars",59.2,228.2,417.8
"2022","ARICD","Asphalt and road oil price in the industrial sector","Dollars per million Btu",18.46,18.54,18.38
"2022","ARTCB","Asphalt and road oil total consumption","Billion Btu",3207,12305,22737
"2022","ARTCP","Asphalt and road oil total consumption","Thousand barrels",483,1854,3426
"2022","ARTXP","Asphalt and road oil total end-use consumption","Thousand barrels",483,1854,3426
"2022","ARTXB","Asphalt and road oil total end-use consumption","Billion Btu",3207,12305,22737
"2022","ARTXV","Asphalt and road oil total end-use expenditures","Million dollars",59.2,228.2,417.8
"2022","ARTCV","Asphalt and road oil total expenditures","Million dollars",59.2,228.2,417.8
"2022","P1TXD","Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" average price, all end-use sectors","Dollars per million Btu",21.25,34.12,33.61
"2022","P1TCD","Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" average price, all sectors","Dollars per million Btu",21.25,34.12,33.61
"2022","P1TCP","Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total consumption","Thousand barrels",509,3209,5728
"2022","P1TCB","Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total consumption","Billion Btu",3356,19896,35767
"2022","P1TXB","Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total end-use consumption","Billion Btu",3356,19896,35766
"2022","P1TXP","Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total end-use consumption","Thousand barrels",509,3209,5728
"2022","P1TXV","Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total end-use expenditures","Million dollars",70.6,649.6,1134.3
"2022","P1TCV","Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total expenditures","Million dollars",70.6,649.6,1134.3
"2022","P1ICD","Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" average price in the  industrial sector","Dollars per million Btu",19.69,27.66,26.4
"2022","P1ICB","Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" consumed by the industrial sector","Billion Btu",3258,16893,29574
"2022","P1ICP","Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" consumed by the industrial sector","Thousand barrels",492,2685,4644
"2022","P1ISB","Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" consumed by the industrial sector excluding refinery fuel and intermediate products","Billion Btu",3258,16893,29574
"2022","P1ICV","Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" expenditures in the  industrial sector","Million dollars",64.1,467.3,780.8
"2022","P1SCB","Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total consumption adjusted for process fuel and intermediate products","Billion Btu",3325,19038,33749
"2022","HLICK","Average factor for converting hydrocarbon gas liquids consumed by the industrial sector from physical unit to Btu","Million Btu per barrel",3.841,3.841,NA
"2022","HLTCK","Average factor for converting hydrocarbon gas liquids total consumption from physical unit to Btu","Million Btu per barrel",3.841,3.841,3.841
"2022","AVTXD","Aviation gasoline average price, all end-use sectors","Dollars per million Btu",0,36.02,36.02
"2022","AVTCD","Aviation gasoline average price, all sectors","Dollars per million Btu",0,36.02,36.02
"2022","ABICP","Aviation gasoline blending components consumed by the industrial sector","Thousand barrels",0,0,0
"2022","ABICB","Aviation gasoline blending components consumed by the industrial sector","Billion Btu",0,0,0
"2022","AVACB","Aviation gasoline consumed by the transportation sector","Billion Btu",0,236,409
"2022","AVACP","Aviation gasoline consumed by the transportation sector","Thousand barrels",0,47,81
"2022","AVACV","Aviation gasoline expenditures in the transportation sector","Million dollars",0,8.5,14.7
"2022","AVACD","Aviation gasoline price in the transportation sector","Dollars per million Btu",0,36.02,36.02
"2022","AVTCB","Aviation gasoline total consumption","Billion Btu",0,236,409
"2022","AVTCP","Aviation gasoline total consumption","Thousand barrels",0,47,81
"2022","AVTXP","Aviation gasoline total end-use consumption","Thousand barrels",0,47,81
"2022","AVTXB","Aviation gasoline total end-use consumption","Billion Btu",0,236,409
"2022","AVTXV","Aviation gasoline total end-use expenditures","Million dollars",0,8.5,14.7
"2022","AVTCV","Aviation gasoline total expenditures","Million dollars",0,8.5,14.7
"2022","BTVHN","Battery electric vehicle (BEV) light-duty stocks","Thousands of registered vehicles",5,38.7,47.5
"2022","BTCAS","Battery storage generating units usage factor","Percent",0,19,0.7
"2022","BTGBP","Battery storage units net summer capacity in all sectors","Thousand kilowatts",0,8,11
"2022","BDCCP","Biodiesel consumed by the commercial sector","Thousand barrels",0,0,0
"2022","BDCCB","Biodiesel consumed by the commercial sector","Billion Btu",NA,0,0
"2022","BDEIB","Biodiesel consumed by the electric power sector","Billion Btu",0,0,1
"2022","BDEIP","Biodiesel consumed by the electric power sector","Thousand barrels",NA,0,0
"2022","BDRCP","Biodiesel consumed by the residential sector","Thousand barrels",0,0,0
"2022","BDRCB","Biodiesel consumed by the residential sector","Billion Btu",0,0,0
"2022","BDACP","Biodiesel consumed by the transportation sector","Thousand barrels",10,273,642
"2022","BDACB","Biodiesel consumed by the transportation sector","Billion Btu",53,1464,3441
"2022","BDSUP","Biodiesel product supplied","Thousand barrels",6,160,377
"2022","BDSUB","Biodiesel product supplied","Billion Btu",31,858,2018
"2022","BDCUP","Biodiesel product supplied portion to the commercial sector","Thousand barrels",0,0,0
"2022","BDCUB","Biodiesel product supplied portion to the commercial sector","Billion Btu",0,0,0
"2022","BDEUB","Biodiesel product supplied portion to the electric power sector","Billion Btu",0,0,1
"2022","BDEUP","Biodiesel product supplied portion to the electric power sector","Thousand barrels",0,0,0
"2022","BDXUP","Biodiesel product supplied portion to the end-use sectors","Thousand barrels",6,160,376
"2022","BDXUB","Biodiesel product supplied portion to the end-use sectors","Billion Btu",31,858,2017
"2022","BDRUB","Biodiesel product supplied portion to the residential sector","Billion Btu",0,0,0
"2022","BDRUP","Biodiesel product supplied portion to the residential sector","Thousand barrels",0,0,0
"2022","BDAUB","Biodiesel product supplied portion to the transportation sector","Billion Btu",31,858,2017
"2022","BDAUP","Biodiesel product supplied portion to the transportation sector","Thousand barrels",6,160,376
"2022","BDFDB","Biodiesel production (total biomass inputs as feedstock), including liquids and losses & co-products","Billion Btu",NA,NA,120
"2022","BDCBP","Biodiesel refinery and blender net inputs portion to the commercial sector","Thousand barrels",0,0,0
"2022","BDCBB","Biodiesel refinery and blender net inputs portion to the commercial sector","Billion Btu",0,0,0
"2022","BDRBB","Biodiesel refinery and blender net inputs portion to the residential sector","Billion Btu",0,0,0
"2022","BDRBP","Biodiesel refinery and blender net inputs portion to the residential sector","Thousand barrels",0,0,0
"2022","BDABP","Biodiesel refinery and blender net inputs portion to the transportation sector","Thousand barrels",4,113,266
"2022","BDABB","Biodiesel refinery and blender net inputs portion to the transportation sector","Billion Btu",22,606,1424
"2022","BDTXB","Biodiesel total end-use consumption","Billion Btu",53,1464,NA
"2022","BDTXP","Biodiesel total end-use consumption","Thousand barrels",10,273,NA
"2022","BDRIB","Biodiesel total refinery and blender net inputs","Billion Btu",22,606,1424
"2022","BDRIP","Biodiesel total refinery and blender net inputs","Thousand barrels",4,113,266
"2022","BFTCB","Biofuels total consumption","Billion Btu",NA,21337,36123
"2022","BMCAS","Biomass generating units capacity factor","Percent",55.4,50.2,63.4
"2022","BMTCB","Biomass total consumption","Billion Btu",1923,35988,162230
"2022","CLCCE","Coal CO2 emissions for the commercial sector","Million metric tons CO2",NA,0,0
"2022","CLICE","Coal CO2 emissions for the industrial sector","Million metric tons CO2",NA,NA,3.1
"2022","CLRCE","Coal CO2 emissions for the residential sector (through 2008)","Million metric tons CO2",0,0,NA
"2022","CLTXD","Coal average price, all end-use sectors","Dollars per million Btu",0,2.91,5.74
"2022","CLTCD","Coal average price, all sectors","Dollars per million Btu",0,3.09,4.51
"2022","CLRFB","Coal consumed as refinery fuel","Billion Btu",0,0,0
"2022","CLKCB","Coal consumed at coke plants (coking coal)","Billion Btu",0,0,24195
"2022","CLKCP","Coal consumed by coke plants (coking coal)","Thousand short tons",0,0,830
"2022","CLOCB","Coal consumed by industrial users other than coke plants","Billion Btu",0,9442,9497
"2022","CLOCP","Coal consumed by industrial users other than coke plants","Thousand short tons",0,425,367
"2022","CLCCP","Coal consumed by the commercial sector","Thousand short tons",0,0,9
"2022","CLCCB","Coal consumed by the commercial sector","Billion Btu",0,0,236
"2022","CLEIB","Coal consumed by the electric power sector","Billion Btu",0,52490,33811
"2022","CLEIP","Coal consumed by the electric power sector","Thousand short tons",0,2119,1652
"2022","CLICP","Coal consumed by the industrial sector","Thousand short tons",0,425,1197
"2022","CLICB","Coal consumed by the industrial sector","Billion Btu",0,9442,33692
"2022","CLISB","Coal consumed by the industrial sector excluding refinery fuel","Billion Btu",0,9442,33692
"2022","CLOSB","Coal consumed by the industrial sector other than coke plants excluding refinery fuel","Billion Btu",0,9442,9497
"2022","CLRCB","Coal consumed by the residential sector","Billion Btu",0,0,0
"2022","CLRCP","Coal consumed by the residential sector","Thousand short tons",0,0,0
"2022","CLACP","Coal consumed by the transportation sector","Thousand short tons",0,0,0
"2022","CLACB","Coal consumed by the transportation sector","Billion Btu",0,0,0
"2022","CLKCV","Coal expenditures at coke plants","Million dollars",0,0,145.3
"2022","CLCCV","Coal expenditures in the commercial sector","Million dollars",0,0,1.5
"2022","CLEIV","Coal expenditures in the electric power sector","Million dollars",0,163.7,110.8
"2022","CLICV","Coal expenditures in the industrial sector","Million dollars",0,27.4,193.3
"2022","CLOCV","Coal expenditures in the industrial sector other than coke plants","Million dollars",0,27.4,48
"2022","CLRCV","Coal expenditures in the residential sector","Million dollars",0,0,0
"2022","CLACV","Coal expenditures in the transportation sector","Million dollars",0,0,0
"2022","CLCAS","Coal generating units capacity factor","Percent",0,23.7,16.3
"2022","CLGBP","Coal generating units net summer capacity in all sectors","Thousand kilowatts",0,1758,2536
"2022","CLKCD","Coal price at coke plants","Dollars per million Btu",0,0,6.01
"2022","CLCCD","Coal price in the commercial sector","Dollars per million Btu",0,0,6.24
"2022","CLEID","Coal price in the electric power sector","Dollars per million Btu",0,3.12,3.28
"2022","CLICD","Coal price in the industrial sector","Dollars per million Btu",0,2.91,5.74
"2022","CLOCD","Coal price in the industrial sector other than coke plants","Dollars per million Btu",0,2.91,5.05
"2022","CLRCD","Coal price in the residential sector","Dollars per million Btu",0,0,0
"2022","CLACD","Coal price in the transportation sector","Dollars per million Btu",0,0,0
"2022","CLTCB","Coal total consumption","Billion Btu",0,61932,67739
"2022","CLTCP","Coal total consumption","Thousand short tons",0,2545,2858
"2022","CLSCB","Coal total consumption adjusted for process fuel","Billion Btu",0,61932,67739
"2022","CLTXP","Coal total end-use consumption","Thousand barrels",0,425,1206
"2022","CLTXB","Coal total end-use consumption","Billion Btu",0,9442,33927
"2022","CLTXV","Coal total end-use expenditures","Million dollars",0,27.4,194.8
"2022","CLTCV","Coal total expenditures","Million dollars",0,191.1,305.5
"2022","HVCAS","Conventional hydroelectric generating units capacity factor","Percent",0,34.4,15
"2022","HVGBP","Conventional hydroelectric power generating units net summer capacity in all sectors","Thousand kilowatts",0,590,867
"2022","ZWCDP","Cooling degree days (CDD)","Days",1769,1212,1188
"2022","COICP","Crude oil consumed by the industrial sector","Thousand barrels",0,0,0
"2022","COICB","Crude oil consumed by the industrial sector","Billion Btu",0,0,0
"2022","PAPRP","Crude oil production (including lease condensate)","Thousand barrels",0,0,7
"2022","PAPRB","Crude oil production (including lease condensate)","Billion Btu",0,0,40
"2022","GDPRV","Current-dollar gross domestic product (GDP)","Million dollars",165768.4,484907.6,666681.8
"2022","EVDCN","DC fast charging ports for electric vehicles","Number",39,725,903
"2022","EVDCR","DC fast charging ports per location","Number",4.88,3.03,4.16
"2022","WDEXB","Densified biomass exports (available for 2016 forward)","Billion Btu",0,0,9754
"2022","DKEID","Distillate fuel oil (including kerosene-type jet fuel before 2001) average price in the electric power sector","Dollars per million Btu",0,25.75,19.81
"2022","DKEIP","Distillate fuel oil (including kerosene-type jet fuel before 2001) consumed by the electric power sector","Thousand barrels",0,240,1073
"2022","DKEIB","Distillate fuel oil (including kerosene-type jet fuel before 2001) consumed by the electric power sector","Billion Btu",0,1386,6183
"2022","DKEIV","Distillate fuel oil (including kerosene-type jet fuel before 2001) expenditures in the electric power sector","Million dollars",0,35.7,122.5
"2022","DFTXD","Distillate fuel oil average price, all end-use sectors","Dollars per million Btu",35.05,35.1,33.9
"2022","DFTCD","Distillate fuel oil average price, all sectors","Dollars per million Btu",35.05,34.97,33.46
"2022","DFRFB","Distillate fuel oil consumed as refinery fuel","Billion Btu",0,0,0
"2022","DFCSB","Distillate fuel oil consumed by the commercial sector including biofuels product supplied","Billion Btu",620,7518,8693
"2022","DFEIP","Distillate fuel oil consumed by the electric power sector","Thousand barrels",0,240,1073
"2022","DFEIB","Distillate fuel oil consumed by the electric power sector","Billion Btu",0,1386,6183
"2022","DFICB","Distillate fuel oil consumed by the industrial sector","Billion Btu",120,6000,15404
"2022","DFICP","Distillate fuel oil consumed by the industrial sector","Thousand barrels",21,NA,2672
"2022","DFISB","Distillate fuel oil consumed by the industrial sector excluding refinery fuel","Billion Btu",120,6000,15404
"2022","DFRCP","Distillate fuel oil consumed by the residential sector","Thousand barrels",105,2530,2155
"2022","DFRCB","Distillate fuel oil consumed by the residential sector","Billion Btu",606,14596,12433
"2022","DFRSB","Distillate fuel oil consumed by the residential sector including biofuels product supplied","Billion Btu",606,14596,12433
"2022","DFACB","Distillate fuel oil consumed by the transportation sector","Billion Btu",NA,NA,151652
"2022","DFCCV","Distillate fuel oil expenditures in the commercial sector","Million dollars",NA,NA,243.4
"2022","DFEIV","Distillate fuel oil expenditures in the electric power sector","Million dollars",0,35.7,122.5
"2022","DFICV","Distillate fuel oil expenditures in the industrial sector","Million dollars",3.3,160.1,423.5
"2022","DFRCV","Distillate fuel oil expenditures in the residential sector","Million dollars",19.2,454,369.9
"2022","DFEID","Distillate fuel oil price in the electric power sector","Dollars per million Btu",0,25.75,19.81
"2022","DFICD","Distillate fuel oil price in the industrial sector","Dollars per million Btu",27.69,26.68,27.5
"2022","DFRCD","Distillate fuel oil price in the residential sector","Dollars per million Btu",31.77,31.1,29.75
"2022","DFTCB","Distillate fuel oil total consumption","Billion Btu",3698,94023,194365
"2022","DFTCP","Distillate fuel oil total consumption","Thousand barrels",641,16304,33708
"2022","DFSCB","Distillate fuel oil total consumption adjusted for process fuel","Billion Btu",3730,94881,196382
"2022","DFTXP","Distillate fuel oil total end-use consumption","Thousand barrels",641,16064,32635
"2022","DFTXB","Distillate fuel oil total end-use consumption","Billion Btu",3698,92637,188181
"2022","DFTXV","Distillate fuel oil total end-use expenditures","Million dollars",130.7,3281.9,6447.5
"2022","DFTCV","Distillate fuel oil total expenditures","Million dollars",130.7,3317.6,6570
"2022","DACCP","Distillate fuel oil, biodiesel, and renewable diesel consumed by the commercial sector","Thousand barrels",107,1303,1507
"2022","DACCB","Distillate fuel oil, biodiesel, and renewable diesel consumed by the commercial sector","Billion Btu",620,7518,8693
"2022","DAEIP","Distillate fuel oil, biodiesel, and renewable diesel consumed by the electric power sector","Thousand barrels",0,240,1073
"2022","DAEIB","Distillate fuel oil, biodiesel, and renewable diesel consumed by the electric power sector","Billion Btu",0,1386,6185
"2022","DAICP","Distillate fuel oil, biodiesel, and renewable diesel consumed by the industrial sector","Thousand barrels",21,1041,2672
"2022","DAICB","Distillate fuel oil, biodiesel, and renewable diesel consumed by the industrial sector","Billion Btu",120,6000,15404
"2022","DARCB","Distillate fuel oil, biodiesel, and renewable diesel consumed by the residential sector","Billion Btu",606,14596,12433
"2022","DARCP","Distillate fuel oil, biodiesel, and renewable diesel consumed by the residential sector","Thousand barrels",105,2530,2155
"2022","DAACP","Distillate fuel oil, biodiesel, and renewable diesel consumed by the transportation sector","Thousand barrels",414,11351,26678
"2022","DAACB","Distillate fuel oil, biodiesel, and renewable diesel consumed by the transportation sector","Billion Btu",2384,65381,153669
"2022","DMACP","Distillate fuel oil, excluding biodiesel and renewable diesel, consumed by the transportation sector","Thousand barrels",404,11077,26036
"2022","DMACB","Distillate fuel oil, excluding biodiesel and renewable diesel, consumed by the transportation sector","Billion Btu",2330,63917,150228
"2022","DMTCP","Distillate fuel oil, excluding biodiesel and renewable diesel, total consumption","Thousand barrels",637,16191,33442
"2022","DMTCB","Distillate fuel oil, excluding biodiesel and renewable diesel, total consumption","Billion Btu",3676,93417,192941
"2022","DMCCB","Distillate fuel oil, excluding biofuels, consumed by the commercial sector","Billion Btu",620,7518,8693
"2022","DMCCP","Distillate fuel oil, excluding biofuels, consumed by the commercial sector","Thousand barrels",107,1303,1507
"2022","DMEIB","Distillate fuel oil, excluding biofuels, consumed by the electric power sector","Billion Btu",0,1386,6183
"2022","DMEIP","Distillate fuel oil, excluding biofuels, consumed by the electric power sector","Thousand barrels",0,240,1073
"2022","DMICB","Distillate fuel oil, excluding biofuels, consumed by the industrial sector","Billion Btu",120,6000,15404
"2022","DMICP","Distillate fuel oil, excluding biofuels, consumed by the industrial sector","Thousand barrels",21,1041,2672
"2022","DMRCP","Distillate fuel oil, excluding biofuels, consumed by the residential sector","Thousand barrels",105,2530,2155
"2022","DMRCB","Distillate fuel oil, excluding biofuels, consumed by the residential sector","Billion Btu",606,14596,12433
"2022","ELVHS","Electric vehicle (EV) share of total light-duty vehicles","Percent",2.7,1.3,1
"2022","EVNNP","Electric vehicle charging locations with both networked and non-networked ports","Number",5,6,10
"2022","EVPPP","Electric vehicle charging locations with both public and private ports","Number",10,32,57
"2022","EVNTP","Electric vehicle charging locations with networked ports only","Number",307,1268,1049
"2022","EVNOP","Electric vehicle charging locations with non-networked ports only","Number",37,272,309
"2022","EVPVP","Electric vehicle charging locations with private ports only","Number",36,99,98
"2022","EVPUP","Electric vehicle charging locations with public ports only","Number",303,1415,1213
"2022","ESTXD","Electricity average price, all end-use sectors","Dollars per million Btu",43.78,39.04,31.5
"2022","ESTCD","Electricity average price, all sectors","Dollars per million Btu",43.78,39.04,31.5
"2022","ESCCB","Electricity consumed by (sales to ultimate customers in) the commercial sector","Billion Btu",24874,94251,233913
"2022","ESCCP","Electricity consumed by (sales to ultimate customers in) the commercial sector","Million kilowatthours",7290,27623,68556
"2022","ESICP","Electricity consumed by (sales to ultimate customers in) the industrial sector","Million kilowatthours",182,3602,16861
"2022","ESICB","Electricity consumed by (sales to ultimate customers in) the industrial sector","Billion Btu",620,12289,57530
"2022","ESRCB","Electricity consumed by (sales to ultimate customers in) the residential sector","Billion Btu",8595,95759,159400
"2022","ESRCP","Electricity consumed by (sales to ultimate customers in) the residential sector","Million kilowatthours",2519,28065,46718
"2022","ESRPP","Electricity consumed by (sales to ultimate customers in) the residential sector per capita","Kilowatthours",3722,4532,5380
"2022","ESACB","Electricity consumed by (sales to ultimate customers in) the transportation sector","Billion Btu",855,1339,443
"2022","ESACP","Electricity consumed by (sales to ultimate customers in) the transportation sector","Million kilowatthours",251,392,130
"2022","ESRFB","Electricity consumed by refineries","Billion Btu",0,0,0
"2022","BTVHP","Electricity consumed for battery electric vehicle (BEV) use","Million kilowatthours",9,69,76
"2022","ESVHP","Electricity consumed for electric vehicle (EV) use","Million kilowatthours",14,106,110
"2022","PHVHP","Electricity consumed for plug-in hybrid electric vehicle (PHEV) use","Million kilowatthours",5,36,34
"2022","ESCCV","Electricity expenditures in the commercial sector","Million dollars",1137,3494.9,6620.6
"2022","ESICV","Electricity expenditures in the industrial sector","Million dollars",14.1,360.4,1347.2
"2022","ESRCV","Electricity expenditures in the residential sector","Million dollars",357.3,4057.9,6233.1
"2022","ESACV","Electricity expenditures in the transportation sector","Million dollars",21.3,37.1,14.1
"2022","ELEXB","Electricity exported from the United States","Billion Btu",0,0,0
"2022","ELEXP","Electricity exported from the United States","Million kilowatthours",0,0,0
"2022","ELEXD","Electricity exports average price","Dollars per million Btu",0,0,0
"2022","ELEXV","Electricity exports expenditures","Million dollars",0,0,0
"2022","ELIMP","Electricity imported into the United States","Million kilowatthours",0,0,0
"2022","ELIMB","Electricity imported into the United States","Billion Btu",0,0,0
"2022","ELIMD","Electricity imports average price","Dollars per million Btu",0,0,0
"2022","ELIMV","Electricity imports expenditures","Million dollars",0,0,0
"2022","ESCCD","Electricity price in the commercial sector","Dollars per million Btu",45.71,37.08,28.3
"2022","ESICD","Electricity price in the industrial sector","Dollars per million Btu",22.68,29.33,23.42
"2022","ESRCD","Electricity price in the residential sector","Dollars per million Btu",41.57,42.38,39.1
"2022","ESACD","Electricity price in the transportation sector","Dollars per million Btu",24.93,27.69,31.81
"2022","ESISB","Electricity sales to the industrial sector excluding refinery use","Billion Btu",620,12289,57530
"2022","ESTCB","Electricity total consumption (electricity sales to ultimate customers)","Billion Btu",34944,203637,451287
"2022","ESTCP","Electricity total consumption (electricity sales to ultimate customers)","Million kilowatthours",10242,59683,132265
"2022","ESTPP","Electricity total consumption (electricity sales to ultimate customers) per capita","Kilowatthours",15134,9638,15232
"2022","ESSCB","Electricity total consumption adjusted for process fuel","Billion Btu",34944,203637,451287
"2022","ESTXP","Electricity total end-use consumption (electricity sales to ultimate customers)","Million kilowatthours",10242,59683,132265
"2022","ESTXB","Electricity total end-use consumption (electricity sales to ultimate customers)","Billion Btu",34944,203637,451287
"2022","ESTXV","Electricity total end-use expenditures","Million dollars",1529.7,7950.3,14215
